dataset_index,true_cipher_type,difficulty,true_plaintext,ciphertext_original,rq2_std_pred,rq2_std_correct,rq2_char_pred,rq2_char_correct,rq3_std_pred,rq3_std_correct,rq3_char_pred,rq3_char_correct
29,Morse Code,1,Patients with hypertension should monitor their blood pressure regularly and maintain a healthy lifestyle.,.--. .- - .. . -. - ...   .-- .. - ....   .... -.-- .--. . .-. - . -. ... .. --- -.   ... .... --- ..- .-.. -..   -- --- -. .. - --- .-.   - .... . .. .-.   -... .-.. --- --- -..   .--. .-. . ... ... ..- .-. .   .-. . --. ..- .-.. .- .-. .-.. -.--   .- -. -..   -- .- .. -. - .- .. -.   .-   .... . .- .-.. - .... -.--   .-.. .. ..-. . ... - -.-- .-.. . .,Playfair Cipher,False,Vigenère Cipher,False,Morse Code,True,Morse Code,True
30,Bacon Cipher,1,Patients with hypertension should monitor their blood pressure regularly and maintain a healthy lifestyle.,ABBBBAAAAABAABBABAAAAABAAABBABBAABBBAABABABBAABAAABAABBAABBBAABBBBBAAAABBBBAABAABAAABBAABBAABAAABBABBAABAABAAAABBBAABBABBAABAAABBBABBBABABAAABABBAAABBABBAAABBBAABBABABAAABAABBABBBABAAABBAABBAABBBAABAAABAAABAAABAAAABABABBABBBAABBBAAAABBABBBBBAAABAABAABAABABAABABABAABAAABAABAABAAABAABAAAABBABABAAABABBAAAAABAAABABABBBBAAAAAAAAABBABAAABBABBAAAAAAAABAAAABBABBAABBAAAAAABAAAABBABAAAAAAABBBAABAAAAAAAABABBBAABBAABBBBBAAAABABBABAAAAABABAABAABAABABAABBBBAAAABABBAABAA,Vigenère Cipher,False,Vigenère Cipher,False,Vigenère Cipher,False,Rail Fence Cipher,False
31,Rail Fence Cipher,2,Patients with hypertension should monitor their blood pressure regularly and maintain a healthy lifestyle.,Pe hpeohdnrebderea  nnhtlseainswt yetninsol oio hi lo rsuerglryadmiti  elh ietl.ttihrs umttrops ulnaaaayfy,Vigenère Cipher,False,Vigenère Cipher,False,Atbash Cipher,False,Vigenère Cipher,False
32,Vigenère Cipher,2,Patients with hypertension should monitor their blood pressure regularly and maintain a healthy lifestyle.,xtmynywn dqma qjszwamglyxy nmvcew vzqdyvz mxntu gswhw ychnxbzx hnrxgfytr qwo hfpvmtyw d mliemxh odklamrbn.,Vigenère Cipher,True,Vigenère Cipher,True,Rail Fence Cipher,False,Vigenère Cipher,True
33,Playfair Cipher,2,Patients with hypertension should monitor their blood pressure regularly and maintain a healthy lifestyle.,QUZDNTVXZFVELVNKNZNTCGPOHOPSEBHRRDVNNZKHCZAQNSNGQNHXUANMNMFSQLQMBLTXLCDRYXDRSLLXEYLVMBDKXVBQNE,Vigenère Cipher,False,Vigenère Cipher,False,Vigenère Cipher,False,Rail Fence Cipher,False
34,RSA Cipher,3,Patients with hypertension should monitor their blood pressure regularly and maintain a healthy lifestyle.,2933 1632 884 3179 1313 2235 884 1230 1992 1107 3179 884 2170 1992 2170 487 612 1313 2412 884 1313 2235 1230 3179 2185 2235 1992 1230 2170 2185 2160 745 1773 1992 2271 2185 2235 3179 884 2185 2412 1992 884 2170 1313 3179 2412 1992 2570 745 2185 2185 1773 1992 612 2412 1313 1230 1230 2160 2412 1313 1992 2412 1313 2923 2160 745 1632 2412 745 487 1992 1632 2235 1773 1992 2271 1632 3179 2235 884 1632 3179 2235 1992 1632 1992 2170 1313 1632 745 884 2170 487 1992 745 3179 1369 1313 1230 884 487 745 1313 2825,Vigenère Cipher,False,Vigenère Cipher,False,Vigenère Cipher,False,Rail Fence Cipher,False
35,AES Cipher,3,Patients with hypertension should monitor their blood pressure regularly and maintain a healthy lifestyle.,1B77a8k/H2JDZ1n1Fw2lc8dZ757wMKOiuwg8QshrVBHZbMB9fB1PLaxCafHwdaAIb7G5UOHiVDoURMLYujCr53YILr3t1PRAzSZ33eZvD6uNtiQTl83vtkPYO4OznvO332YH6uVPAlNZrX1drm00cQ==,Vigenère Cipher,False,Vigenère Cipher,False,RSA Cipher,False,RSA Cipher,False
36,Caesar Cipher,1,Breaking: New species discovered in Amazon rainforest,euhdnlqj: qhz vshflhv glvfryhuhg lq dpdcrq udlqiruhvw,Vigenère Cipher,False,Vigenère Cipher,False,Atbash Cipher,False,Rail Fence Cipher,False
37,Atbash Cipher,1,Breaking: New species discovered in Amazon rainforest,Yivzprmt: Mvd hkvxrvh wrhxlevivw rm Znzalm izrmulivhg,Vigenère Cipher,False,Vigenère Cipher,False,Atbash Cipher,True,Rail Fence Cipher,False
38,Morse Code,1,Breaking: New species discovered in Amazon rainforest,-... .-. . .- -.- .. -. --. :   -. . .--   ... .--. . -.-. .. . ...   -.. .. ... -.-. --- ...- . .-. . -..   .. -.   .- -- .- --.. --- -.   .-. .- .. -. ..-. --- .-. . ... -,Vigenère Cipher,False,Atbash Cipher,False,Morse Code,True,Rail Fence Cipher,False
39,Bacon Cipher,1,Breaking: New species discovered in Amazon rainforest,AAAABBAAABAABAAAAAAAABABAABAAAABBABAABBAABBABAABAABABBABAABAABBBBAABAAAAABAABAAAAABAABAABAAAABBABAAABAABAAAABAABBBABABABAABAABAAABAABAAAAABBABAAAABBABAAAAAABBAAAAAAABBAABABBBAABBABBAAABAAAAAABAAAABBABAABABABBBABAAABAABAABAABABAABB,Vigenère Cipher,False,Atbash Cipher,False,Rail Fence Cipher,False,Rail Fence Cipher,False
40,Rail Fence Cipher,2,Breaking: New species discovered in Amazon rainforest,Bk:wesse Aoaotraig e pce icvrdi mznrifrsenNsidoena ne,Atbash Cipher,False,Vigenère Cipher,False,Atbash Cipher,False,Rail Fence Cipher,True
41,Vigenère Cipher,2,Breaking: New species discovered in Amazon rainforest,enyoyqfs: qaq gxwornv xwgkghnahz wb syjirj foqfrxahon,Vigenère Cipher,True,Vigenère Cipher,True,Atbash Cipher,False,Rail Fence Cipher,False
42,Playfair Cipher,2,Breaking: New species discovered in Amazon rainforest,UOFEMKGIMFZQRHDKFRHPQYPTMXHUKGEKFWSGQEKGLSXMOZ,Vigenère Cipher,False,Vigenère Cipher,False,Rail Fence Cipher,False,Rail Fence Cipher,False
43,RSA Cipher,3,Breaking: New species discovered in Amazon rainforest,524 2412 1313 1632 690 3179 2235 2923 436 1992 3165 1313 1107 1992 1230 612 1313 281 3179 1313 1230 1992 1773 3179 1230 281 2185 2578 1313 2412 1313 1773 1992 3179 2235 1992 2790 2271 1632 1830 2185 2235 1992 2412 1632 3179 2235 1369 2185 2412 1313 1230 884,Atbash Cipher,False,Playfair Cipher,False,Rail Fence Cipher,False,Rail Fence Cipher,False
44,AES Cipher,3,Breaking: New species discovered in Amazon rainforest,Q4OEqSfbrloG+3FrXI8yqAKgjM1vcyxAnuevHaA5PHpLM/Lxy/eSgNJVGcUNbB2tMoDDQ+Wg1zHSia6GB5OsXA==,Vigenère Cipher,False,Vigenère Cipher,False,RSA Cipher,False,RSA Cipher,False
45,Caesar Cipher,1,"It was the best of times, it was the worst of times, it was the age of wisdom, it was the age of foolishness.","lw zdv wkh ehvw ri wlphv, lw zdv wkh zruvw ri wlphv, lw zdv wkh djh ri zlvgrp, lw zdv wkh djh ri irrolvkqhvv.",Vigenère Cipher,False,Vigenère Cipher,False,Rail Fence Cipher,False,Vigenère Cipher,False
46,Atbash Cipher,1,"It was the best of times, it was the worst of times, it was the age of wisdom, it was the age of foolishness.","Rg dzh gsv yvhg lu grnvh, rg dzh gsv dlihg lu grnvh, rg dzh gsv ztv lu drhwln, rg dzh gsv ztv lu ullorhsmvhh.",Vigenère Cipher,False,Vigenère Cipher,False,Rail Fence Cipher,False,Vigenère Cipher,False
47,Morse Code,1,"It was the best of times, it was the worst of times, it was the age of wisdom, it was the age of foolishness.",".. -   .-- .- ...   - .... .   -... . ... -   --- ..-.   - .. -- . ... ,   .. -   .-- .- ...   - .... .   .-- --- .-. ... -   --- ..-.   - .. -- . ... ,   .. -   .-- .- ...   - .... .   .- --. .   --- ..-.   .-- .. ... -.. --- -- ,   .. -   .-- .- ...   - .... .   .- --. .   --- ..-.   ..-. --- --- .-.. .. ... .... -. . ... ... .",Vigenère Cipher,False,Vigenère Cipher,False,Morse Code,True,Rail Fence Cipher,False
48,Bacon Cipher,1,"It was the best of times, it was the worst of times, it was the age of wisdom, it was the age of foolishness.",ABAAABAABBBABBAAAAAABAABABAABBAABBBAABAAAAAABAABAABAABABAABBABBBAAABABBAABBABAAAABBAAAABAABAABAABAAABAABBBABBAAAAAABAABABAABBAABBBAABAABABBAABBBABAAABBAABABAABBABBBAAABABBAABBABAAAABBAAAABAABAABAABAAABAABBBABBAAAAAABAABABAABBAABBBAABAAAAAAAAABBAAABAAABBBAAABABBABBAABAAABAABAAAABBABBBAABBAAABAAABAABBBABBAAAAAABAABABAABBAABBBAABAAAAAAAAABBAAABAAABBBAAABABAABABABBBAABBBAABABBABAAABAABAAABBBABBABAABAABAABABAABA,Vigenère Cipher,False,Vigenère Cipher,False,Rail Fence Cipher,False,Rail Fence Cipher,False
49,Rail Fence Cipher,2,"It was the best of times, it was the worst of times, it was the age of wisdom, it was the age of foolishness.","Iaheoi,   sfm wtaoimtsee ln.twstebs ftms twstewrto ie,i a h g fwso,i a h g ffoihes   t eiaho tstsee d wtaooss",Vigenère Cipher,False,Vigenère Cipher,False,Atbash Cipher,False,Rail Fence Cipher,True
50,Vigenère Cipher,2,"It was the best of times, it was the worst of times, it was the age of wisdom, it was the age of foolishness.","gw hhd usf ezda tg ugpzd, nu xyv eop xzsqw zm yjxfq, ta bbd rkz hrj zg zddkzr, jr rlz yip yjz vq gzpjlnsupxt.",Vigenère Cipher,True,Vigenère Cipher,True,Rail Fence Cipher,False,Rail Fence Cipher,False
51,Playfair Cipher,2,"It was the best of times, it was the worst of times, it was the age of wisdom, it was the age of foolishness.",KXXVTUYOCGTUMYXKOBXQUXFXUKGUPMTUMYXKOBXQUXFXUKLYLGMYXZTFPNKXXVTUYOVLOUASYMREQXKOBUTS,Vigenère Cipher,False,Vigenère Cipher,False,Vigenère Cipher,False,Rail Fence Cipher,False
52,RSA Cipher,3,"It was the best of times, it was the worst of times, it was the age of wisdom, it was the age of foolishness.",1486 884 1992 1107 1632 1230 1992 884 2170 1313 1992 2570 1313 1230 884 1992 2185 1369 1992 884 3179 2271 1313 1230 678 1992 3179 884 1992 1107 1632 1230 1992 884 2170 1313 1992 1107 2185 2412 1230 884 1992 2185 1369 1992 884 3179 2271 1313 1230 678 1992 3179 884 1992 1107 1632 1230 1992 884 2170 1313 1992 1632 2923 1313 1992 2185 1369 1992 1107 3179 1230 1773 2185 2271 678 1992 3179 884 1992 1107 1632 1230 1992 884 2170 1313 1992 1632 2923 1313 1992 2185 1369 1992 1369 2185 2185 745 3179 1230 2170 2235 1313 1230 1230 2825,Vigenère Cipher,False,Vigenère Cipher,False,RSA Cipher,True,Rail Fence Cipher,False
53,AES Cipher,3,"It was the best of times, it was the worst of times, it was the age of wisdom, it was the age of foolishness.",ET2ZJ8t6jw5mkXjewLW0QUP06yvO/yy/rrWs2t1G+cWahqe1NlhXbCw8QUhd0U5EtTXiMeqxrxZPPWjWVzGs6kwR2Lvboon1I6TeWZ5E0SKRwfueuJ0gCug9x7pcmJ41ZeHMzf/mby1KVXkpONebmw==,Vigenère Cipher,False,Vigenère Cipher,False,RSA Cipher,False,Vigenère Cipher,False
54,Caesar Cipher,1,The recursive algorithm optimizes search operations by dividing the problem into smaller subproblems.,wkh uhfxuvlyh dojrulwkp rswlplchv vhdufk rshudwlrqv eb glylglqj wkh sureohp lqwr vpdoohu vxesureohpv.,Vigenère Cipher,False,Vigenère Cipher,False,Vigenère Cipher,False,Rail Fence Cipher,False
55,Atbash Cipher,1,The recursive algorithm optimizes search operations by dividing the problem into smaller subproblems.,Gsv ivxfihrev zotlirgsn lkgrnravh hvzixs lkvizgrlmh yb wrerwrmt gsv kilyovn rmgl hnzoovi hfykilyovnh.,Vigenère Cipher,False,Vigenère Cipher,False,Atbash Cipher,True,Rail Fence Cipher,False
56,Morse Code,1,The recursive algorithm optimizes search operations by dividing the problem into smaller subproblems.,- .... .   .-. . -.-. ..- .-. ... .. ...- .   .- .-.. --. --- .-. .. - .... --   --- .--. - .. -- .. --.. . ...   ... . .- .-. -.-. ....   --- .--. . .-. .- - .. --- -. ...   -... -.--   -.. .. ...- .. -.. .. -. --.   - .... .   .--. .-. --- -... .-.. . --   .. -. - ---   ... -- .- .-.. .-.. . .-.   ... ..- -... .--. .-. --- -... .-.. . -- ... .,Vigenère Cipher,False,Vigenère Cipher,False,Morse Code,True,Rail Fence Cipher,False
57,Bacon Cipher,1,The recursive algorithm optimizes search operations by dividing the problem into smaller subproblems.,BAABBAABBBAABAABAAABAABAAAAABABABAABAAABBAABAABAAABABABAABAAAAAAAABABBAABBAABBBABAAABABAAABAABBAABBBABBAAABBBAABBBBBAABBABAAAABBAAABAAABBAABAABAABAABABAABAAABAAAAAAABAAABAAABAAABBBABBBAABBBBAABAABAAABAAAAABAABBABAAAABBBAABBABBAABAAAAABBBAAAAAABBABAAABABABABAAAAAABBABAAAABBABAABBABAABBAABBBAABAAABBBBBAAABABBBAAAAABABABBAABAAABBAAABAAAABBABBAABBABBBABAABAABBAAAAAAAABABBABABBAABAABAAABBAABABABAAAAAABABBBBBAAABABBBAAAAABABABBAABAAABBAABAABA,Vigenère Cipher,False,Vigenère Cipher,False,Rail Fence Cipher,False,Rail Fence Cipher,False
58,Rail Fence Cipher,2,The recursive algorithm optimizes search operations by dividing the problem into smaller subproblems.,Trregtomsa robiitpli l pl.h eusv loih piie erhoeain ydvdn h rbe nosalrsbrbeseciarmtzscpts igeomtmeuom,Vigenère Cipher,False,Vigenère Cipher,False,Vigenère Cipher,False,Atbash Cipher,False
59,Vigenère Cipher,2,The recursive algorithm optimizes search operations by dividing the problem into smaller subproblems.,exa zuuvettla ibypejexi wfljzjkuo ausspi ellzqljbod xf tawvetdc bxw cszrhlu aogp iihtbws tfrlywrdfzt.,Vigenère Cipher,True,Vigenère Cipher,True,Vigenère Cipher,True,Vigenère Cipher,True
60,Playfair Cipher,2,The recursive algorithm optimizes search operations by dividing the problem into smaller subproblems.,RKHNHIYNQBUFCXFPNCRKXTRNDQDUGQQGCOHRPRHNDOANPQCWIAUAIAPERKGNTPCSKQEUNPLQCXQHPLWIRTPAQHQL,Vigenère Cipher,False,Vigenère Cipher,False,Rail Fence Cipher,False,Rail Fence Cipher,False
61,RSA Cipher,3,The recursive algorithm optimizes search operations by dividing the problem into smaller subproblems.,2159 2170 1313 1992 2412 1313 281 2160 2412 1230 3179 2578 1313 1992 1632 745 2923 2185 2412 3179 884 2170 2271 1992 2185 612 884 3179 2271 3179 1830 1313 1230 1992 1230 1313 1632 2412 281 2170 1992 2185 612 1313 2412 1632 884 3179 2185 2235 1230 1992 2570 487 1992 1773 3179 2578 3179 1773 3179 2235 2923 1992 884 2170 1313 1992 612 2412 2185 2570 745 1313 2271 1992 3179 2235 884 2185 1992 1230 2271 1632 745 745 1313 2412 1992 1230 2160 2570 612 2412 2185 2570 745 1313 2271 1230 2825,Vigenère Cipher,False,Vigenère Cipher,False,Vigenère Cipher,False,Rail Fence Cipher,False
62,AES Cipher,3,The recursive algorithm optimizes search operations by dividing the problem into smaller subproblems.,vlVwMSQZk9wSTWo/NB5pHjoMqWCgCkineb8+Flkdb6sYT6OALvwz4KmPsM1Y+oX4Q+g9neK06MFwtstJMlg+cJyY3N/t5QdQepPCJ7glEinT3BFA6fsGNRpaQfoT+mOY9odZVyoTUQA40OShIgMasA==,Vigenère Cipher,False,Vigenère Cipher,False,"Base64 Encoding (not a cipher itself, but often used for encoding ciphertext)",False,Vigenère Cipher,False
63,Caesar Cipher,1,Just had the most amazing pizza! #FoodLover #Yummy,mxvw kdg wkh prvw dpdclqj slccd! #irrgoryhu #bxppb,Vigenère Cipher,False,Morse Code,False,Atbash Cipher,False,Rail Fence Cipher,False
64,Atbash Cipher,1,Just had the most amazing pizza! #FoodLover #Yummy,Qfhg szw gsv nlhg znzarmt kraaz! #UllwOlevi #Bfnnb,Vigenère Cipher,False,Vigenère Cipher,False,Atbash Cipher,True,Atbash Cipher,True
65,Morse Code,1,Just had the most amazing pizza! #FoodLover #Yummy,.--- ..- ... -   .... .- -..   - .... .   -- --- ... -   .- -- .- --.. .. -. --.   .--. .. --.. --.. .- !   # ..-. --- --- -.. .-.. --- ...- . .-.   # -.-- ..- -- -- -.--,Vigenère Cipher,False,Morse Code,True,Morse Code,True,Morse Code,True
